Name,Value
rook_1_N1,0
rook_1_E1,0
rook_1_S1,0
rook_1_W1,0
rook_1_N2,0
rook_1_E2,0
rook_1_S2,0
rook_1_W2,0
rook_1_N3,0
rook_1_E3,0
rook_1_S3,0
rook_1_W3,0
rook_1_N4,0
rook_1_E4,0
rook_1_S4,0
rook_1_W4,0
rook_1_N5,0
rook_1_E5,0
rook_1_S5,0
rook_1_W5,0
rook_1_N6,0
rook_1_E6,0
rook_1_S6,0
rook_1_W6,0
rook_1_N7,0
rook_1_E7,0
rook_1_S7,0
rook_1_W7,0
rook_2_N1,0
rook_2_E1,0
rook_2_S1,0
rook_2_W1,0
rook_2_N2,0
rook_2_E2,0
rook_2_S2,0
rook_2_W2,0
rook_2_N3,0
rook_2_E3,0
rook_2_S3,0
rook_2_W3,0
rook_2_N4,0
rook_2_E4,0
rook_2_S4,0
rook_2_W4,0
rook_2_N5,0
rook_2_E5,0
rook_2_S5,0
rook_2_W5,0
rook_2_N6,0
rook_2_E6,0
rook_2_S6,0
rook_2_W6,0
rook_2_N7,0
rook_2_E7,0
rook_2_S7,0
rook_2_W7,0
bishop_1_NE1,0
bishop_1_SE1,0
bishop_1_SW1,0
bishop_1_NW1,0
bishop_1_NE2,0
bishop_1_SE2,0
bishop_1_SW2,0
bishop_1_NW2,0
bishop_1_NE3,0
bishop_1_SE3,0
bishop_1_SW3,0
bishop_1_NW3,0
bishop_1_NE4,0
bishop_1_SE4,0
bishop_1_SW4,0
bishop_1_NW4,0
bishop_1_NE5,0
bishop_1_SE5,0
bishop_1_SW5,0
bishop_1_NW5,0
bishop_1_NE6,0
bishop_1_SE6,0
bishop_1_SW6,0
bishop_1_NW6,0
bishop_1_NE7,0
bishop_1_SE7,0
bishop_1_SW7,0
bishop_1_NW7,0
bishop_2_NE1,0
bishop_2_SE1,0
bishop_2_SW1,0
bishop_2_NW1,0
bishop_2_NE2,0
bishop_2_SE2,0
bishop_2_SW2,0
bishop_2_NW2,0
bishop_2_NE3,0
bishop_2_SE3,0
bishop_2_SW3,0
bishop_2_NW3,0
bishop_2_NE4,0
bishop_2_SE4,0
bishop_2_SW4,0
bishop_2_NW4,0
bishop_2_NE5,0
bishop_2_SE5,0
bishop_2_SW5,0
bishop_2_NW5,0
bishop_2_NE6,0
bishop_2_SE6,0
bishop_2_SW6,0
bishop_2_NW6,0
bishop_2_NE7,0
bishop_2_SE7,0
bishop_2_SW7,0
bishop_2_NW7,0
knight_1_N1,0
knight_1_N2,0
knight_1_E1,0
knight_1_E2,0
knight_1_S1,0
knight_1_S2,0
knight_1_W1,0
knight_1_W2,0
knight_2_N1,0
knight_2_N2,0
knight_2_E1,0
knight_2_E2,0
knight_2_S1,0
knight_2_S2,0
knight_2_W1,0
knight_2_W2,0
pawn_1_N1,0
pawn_1_NW,0
pawn_1_NE,0
pawn_1_N2,0
pawn_2_N1,0
pawn_2_NW,0
pawn_2_NE,0
pawn_2_N2,0
pawn_3_N1,0
pawn_3_NW,0
pawn_3_NE,0
pawn_3_N2,0
pawn_4_N1,0
pawn_4_NW,0
pawn_4_NE,0
pawn_4_N2,0
pawn_5_N1,0
pawn_5_NW,0
pawn_5_NE,0
pawn_5_N2,0
pawn_6_N1,0
pawn_6_NW,0
pawn_6_NE,0
pawn_6_N2,0
pawn_7_N1,0
pawn_7_NW,0
pawn_7_NE,0
pawn_7_N2,0
pawn_8_N1,0
pawn_8_NW,0
pawn_8_NE,0
pawn_8_N2,0
king_N,0
king_NE,0
king_E,0
king_SE,0
king_S,0
king_SW,0
king_W,0
king_NW,0
queen_N1,0
queen_NE1,0
queen_E1,0
queen_SE1,0
queen_S1,0
queen_SW1,0
queen_W1,0
queen_NW1,0
queen_N2,0
queen_NE2,0
queen_E2,0
queen_SE2,0
queen_S2,0
queen_SW2,0
queen_W2,0
queen_NW2,0
queen_N3,0
queen_NE3,0
queen_E3,0
queen_SE3,0
queen_S3,0
queen_SW3,0
queen_W3,0
queen_NW3,0
queen_N4,0
queen_NE4,0
queen_E4,0
queen_SE4,0
queen_S4,0
queen_SW4,0
queen_W4,0
queen_NW4,0
queen_N5,0
queen_NE5,0
queen_E5,0
queen_SE5,0
queen_S5,0
queen_SW5,0
queen_W5,0
queen_NW5,0
queen_N6,0
queen_NE6,0
queen_E6,0
queen_SE6,0
queen_S6,0
queen_SW6,0
queen_W6,0
queen_NW6,0
queen_N7,0
queen_NE7,0
queen_E7,0
queen_SE7,0
queen_S7,0
queen_SW7,0
queen_W7,0
queen_NW7,0
castle_E,0
castle_W,0
