neuron1,value,neuron2
"2nd_layer_n338, 0","0,9161229","3th_layer_n1, 0"
"2nd_layer_n153, 0","-0,58178276","3th_layer_n1, 0"
"2nd_layer_n285, 0","0,84210545","3th_layer_n2, 0"
"2nd_layer_n213, 0","-0,21839032","3th_layer_n2, 0"
"2nd_layer_n5, 0","0,5392717","3th_layer_n3, 0"
"2nd_layer_n410, 0","-0,8696998","3th_layer_n3, 0"
"2nd_layer_n466, 0","0,95829827","3th_layer_n4, 0"
"2nd_layer_n1, 0","-0,56593126","3th_layer_n4, 0"
"2nd_layer_n472, 0","0,48286894","3th_layer_n5, 0"
"2nd_layer_n479, 0","-0,28823033","3th_layer_n5, 0"
"2nd_layer_n149, 0","0,74882376","3th_layer_n6, 0"
"2nd_layer_n160, 0","-0,5250562","3th_layer_n6, 0"
"2nd_layer_n95, 0","0,76159555","3th_layer_n7, 0"
"2nd_layer_n171, 0","-0,16101247","3th_layer_n7, 0"
"2nd_layer_n442, 0","0,6688847","3th_layer_n8, 0"
"2nd_layer_n200, 0","-0,7538009","3th_layer_n8, 0"
"2nd_layer_n15, 0","0,8845757","3th_layer_n9, 0"
"2nd_layer_n151, 0","-0,9936764","3th_layer_n9, 0"
"2nd_layer_n91, 0","0,55383337","3th_layer_n10, 0"
"2nd_layer_n153, 0","-0,37583256","3th_layer_n10, 0"
"2nd_layer_n375, 0","0,03417681","3th_layer_n11, 0"
"2nd_layer_n251, 0","-0,7442859","3th_layer_n11, 0"
"2nd_layer_n369, 0","0,19418032","3th_layer_n12, 0"
"2nd_layer_n97, 0","-0,52088964","3th_layer_n12, 0"
"2nd_layer_n401, 0","0,58612156","3th_layer_n13, 0"
"2nd_layer_n85, 0","-0,942182","3th_layer_n13, 0"
"2nd_layer_n332, 0","0,20021681","3th_layer_n14, 0"
"2nd_layer_n269, 0","-0,28993183","3th_layer_n14, 0"
"2nd_layer_n228, 0","0,90421534","3th_layer_n15, 0"
"2nd_layer_n372, 0","-0,503823","3th_layer_n15, 0"
"2nd_layer_n110, 0","0,9435773","3th_layer_n16, 0"
"2nd_layer_n372, 0","-0,71202797","3th_layer_n16, 0"
"2nd_layer_n41, 0","0,09411527","3th_layer_n17, 0"
"2nd_layer_n143, 0","-0,25582668","3th_layer_n17, 0"
"2nd_layer_n4, 0","0,5680289","3th_layer_n18, 0"
"2nd_layer_n59, 0","-0,41181353","3th_layer_n18, 0"
"2nd_layer_n348, 0","0,9980557","3th_layer_n19, 0"
"2nd_layer_n405, 0","-0,25396717","3th_layer_n19, 0"
"2nd_layer_n297, 0","0,8863694","3th_layer_n20, 0"
"2nd_layer_n467, 0","-0,94886506","3th_layer_n20, 0"
"2nd_layer_n65, 0","0,32954493","3th_layer_n21, 0"
"2nd_layer_n236, 0","-0,53272104","3th_layer_n21, 0"
"2nd_layer_n257, 0","0,9300228","3th_layer_n22, 0"
"2nd_layer_n461, 0","-0,19834715","3th_layer_n22, 0"
"2nd_layer_n242, 0","0,013868395","3th_layer_n23, 0"
"2nd_layer_n119, 0","-0,030657675","3th_layer_n23, 0"
"2nd_layer_n388, 0","0,18061043","3th_layer_n24, 0"
"2nd_layer_n41, 0","-0,06916286","3th_layer_n24, 0"
"2nd_layer_n166, 0","0,58287174","3th_layer_n25, 0"
"2nd_layer_n199, 0","-0,9957766","3th_layer_n25, 0"
"2nd_layer_n93, 0","0,42098737","3th_layer_n26, 0"
"2nd_layer_n412, 0","-0,6688856","3th_layer_n26, 0"
"2nd_layer_n245, 0","0,10157453","3th_layer_n27, 0"
"2nd_layer_n152, 0","-0,55689985","3th_layer_n27, 0"
"2nd_layer_n268, 0","0,94949734","3th_layer_n28, 0"
"2nd_layer_n393, 0","-0,16205652","3th_layer_n28, 0"
"2nd_layer_n413, 0","0,7676989","3th_layer_n29, 0"
"2nd_layer_n306, 0","-0,40625688","3th_layer_n29, 0"
"2nd_layer_n88, 0","0,047053933","3th_layer_n30, 0"
"2nd_layer_n264, 0","-0,87569886","3th_layer_n30, 0"
"2nd_layer_n115, 0","0,35999748","3th_layer_n31, 0"
"2nd_layer_n353, 0","-0,21551283","3th_layer_n31, 0"
"2nd_layer_n202, 0","0,5903889","3th_layer_n32, 0"
"2nd_layer_n505, 0","-0,28609568","3th_layer_n32, 0"
"2nd_layer_n76, 0","0,1290417","3th_layer_n33, 0"
"2nd_layer_n458, 0","-0,2013433","3th_layer_n33, 0"
"2nd_layer_n427, 0","0,29549727","3th_layer_n34, 0"
"2nd_layer_n50, 0","-0,77302307","3th_layer_n34, 0"
"2nd_layer_n66, 0","0,61668944","3th_layer_n35, 0"
"2nd_layer_n123, 0","-0,3919727","3th_layer_n35, 0"
"2nd_layer_n101, 0","0,680745","3th_layer_n36, 0"
"2nd_layer_n68, 0","-0,4634498","3th_layer_n36, 0"
"2nd_layer_n428, 0","0,21072255","3th_layer_n37, 0"
"2nd_layer_n173, 0","-0,035862297","3th_layer_n37, 0"
"2nd_layer_n362, 0","0,7821564","3th_layer_n38, 0"
"2nd_layer_n158, 0","-0,8850132","3th_layer_n38, 0"
"2nd_layer_n380, 0","0,5503167","3th_layer_n39, 0"
"2nd_layer_n152, 0","-0,7816713","3th_layer_n39, 0"
"2nd_layer_n475, 0","0,54726654","3th_layer_n40, 0"
"2nd_layer_n468, 0","-0,5012994","3th_layer_n40, 0"
"2nd_layer_n182, 0","0,42601696","3th_layer_n41, 0"
"2nd_layer_n179, 0","-0,8314199","3th_layer_n41, 0"
"2nd_layer_n445, 0","0,7380745","3th_layer_n42, 0"
"2nd_layer_n11, 0","-0,7281563","3th_layer_n42, 0"
"2nd_layer_n421, 0","0,27943256","3th_layer_n43, 0"
"2nd_layer_n247, 0","-0,29271498","3th_layer_n43, 0"
"2nd_layer_n65, 0","0,13219589","3th_layer_n44, 0"
"2nd_layer_n252, 0","-0,967647","3th_layer_n44, 0"
"2nd_layer_n152, 0","0,64522696","3th_layer_n45, 0"
"2nd_layer_n470, 0","-0,7873233","3th_layer_n45, 0"
"2nd_layer_n405, 0","0,18569668","3th_layer_n46, 0"
"2nd_layer_n234, 0","-0,16521166","3th_layer_n46, 0"
"2nd_layer_n2, 0","0,42402285","3th_layer_n47, 0"
"2nd_layer_n497, 0","-0,8420345","3th_layer_n47, 0"
