neuron1,value,neuron2
"a1_1, 0","0,4088513","2nd_layer_n408, 0"
"a1_1, 0","-0,3224646","2nd_layer_n75, 0"
"a1_2, 0","0,28782105","2nd_layer_n9, 0"
"a1_2, 0","-0,7887995","2nd_layer_n112, 0"
"a1_3, 0","0,26524365","2nd_layer_n196, 0"
"a1_3, 0","-0,3370077","2nd_layer_n354, 0"
"a1_4, 0","0,057771914","2nd_layer_n269, 0"
"a1_4, 0","-0,97661006","2nd_layer_n460, 0"
"a1_5, 0","0,2748342","2nd_layer_n411, 0"
"a1_5, 0","-0,41996118","2nd_layer_n304, 0"
"a1_6, 0","0,8151088","2nd_layer_n21, 0"
"a1_6, 0","-0,69267964","2nd_layer_n229, 0"
"a1_7, 0","0,9487737","2nd_layer_n471, 0"
"a1_7, 0","-0,19933252","2nd_layer_n105, 0"
"a1_8, 0","0,17053765","2nd_layer_n332, 0"
"a1_8, 0","-0,84777504","2nd_layer_n191, 0"
"a1_9, 0","0,2462548","2nd_layer_n197, 0"
"a1_9, 0","-0,40963364","2nd_layer_n220, 0"
"a1_10, 0","0,50066054","2nd_layer_n146, 0"
"a1_10, 0","-0,46797305","2nd_layer_n432, 0"
"a1_11, 0","0,21737096","2nd_layer_n194, 0"
"a1_11, 0","-0,747782","2nd_layer_n180, 0"
"a1_12, 0","0,40457135","2nd_layer_n40, 0"
"a1_12, 0","-0,33665153","2nd_layer_n46, 0"
"a2_1, 0","0,81789035","2nd_layer_n44, 0"
"a2_1, 0","-0,09589946","2nd_layer_n310, 0"
"a2_2, 0","0,22986697","2nd_layer_n489, 0"
"a2_2, 0","-0,082978554","2nd_layer_n412, 0"
"a2_3, 0","0,018510511","2nd_layer_n64, 0"
"a2_3, 0","-0,5873456","2nd_layer_n424, 0"
"a2_4, 0","0,53574944","2nd_layer_n267, 0"
"a2_4, 0","-0,052987076","2nd_layer_n104, 0"
"a2_5, 0","0,2507423","2nd_layer_n493, 0"
"a2_5, 0","-0,76546043","2nd_layer_n438, 0"
"a2_6, 0","0,86159784","2nd_layer_n304, 0"
"a2_6, 0","-0,42264056","2nd_layer_n25, 0"
"a2_7, 0","0,0616557","2nd_layer_n486, 0"
"a2_7, 0","-0,20167336","2nd_layer_n241, 0"
"a2_8, 0","0,5974079","2nd_layer_n231, 0"
"a2_8, 0","-0,116419025","2nd_layer_n491, 0"
"a2_9, 0","0,10298883","2nd_layer_n131, 0"
"a2_9, 0","-0,13882424","2nd_layer_n481, 0"
"a2_10, 0","0,631816","2nd_layer_n48, 0"
"a2_10, 0","-0,24670225","2nd_layer_n263, 0"
"a2_11, 0","0,8122569","2nd_layer_n102, 0"
"a2_11, 0","-0,41745186","2nd_layer_n167, 0"
"a2_12, 0","0,0730698","2nd_layer_n203, 0"
"a2_12, 0","-0,34487116","2nd_layer_n432, 0"
"a3_1, 0","0,18918021","2nd_layer_n43, 0"
"a3_1, 0","-0,5175364","2nd_layer_n54, 0"
"a3_2, 0","0,89128315","2nd_layer_n403, 0"
"a3_2, 0","-0,6880437","2nd_layer_n504, 0"
"a3_3, 0","0,8919292","2nd_layer_n433, 0"
